编码,称号,代表人物,人格深度扩写
N-H-R-N,DeFi 深度参与者,Chef Bun (Pancake),生态守护者。 长期在链上质押 BNB，深度研究每一个 Launchpool 的收益率，是 BNB 生态最稳健的资产压舱石。
N-H-R-C,价值投资者,CZ (赵长鹏),生态构建者。 相信“建设（Build）”的力量。所有的逻辑都围绕着 BNB 赋能展开，看重实实在在的用户增长和商业闭环。
N-H-F-N,社区老玩家,Yi He (何一),币安客服一姐。 维护着 BNB 社区的灵魂和“币安文化”，对生态内的 Meme 和项目有极强的直觉，是社区共识的纽带。
N-H-F-C,BNB 囤币族,币安铁粉,忠诚度极高。 相信币安就是 Web3 的中心，在 CEX 里长期持有 BNB，认为这是最稳健、福利最多的资产配置。
N-D-R-N,科学家/套利者,BSC 脚本党,效率至上者。 编写脚本在 BSC 上寻找各种套利空间，利用低手续费频繁刷单，数据分析是他的核心武器。
N-D-R-C,波段交易员,Pentoshi,全能分析师。 擅长捕捉 BNB 生态币种在交易所的爆发机会，极度关注盘口资金流向，快进快出，回撤极小。
N-D-F-N,土狗挖掘机,BscGemz,BSC 冲狗队长。 在 BSC 链上寻找百倍土狗，哪里人多往哪冲，只要群里“Moon”发得多，他就敢重仓。
N-D-F-C,闪电投机者,热点追逐者,情绪博弈家。 专门在交易所里追逐 BNB 生态的热点币，全凭直觉，涨了就跑，绝不恋战，是交易所流动性的主要贡献者。
B-H-R-N,中本聪传人,Adam Back,密码朋克老兵。 Hashcash 发明者，坚持硬件钱包冷存储，只看宏观经济模型，视一切非 PoW 链为异端。
B-H-R-C,机构追随者,Michael Saylor,大饼布道师。 把 BTC 看作“数字能源”。虽然懂技术，但倾向于通过微策公司或 ETF 这种传统金融渠道大规模吸筹。
B-H-F-N,铭文守望者,Casey Rodarmor,协议开拓者。 Ordinals 创始人，相信 BTC 的文化多样性。虽然持有大饼，但更着迷于在链上留下永恒的文化印记。
B-H-F-C,大饼养老族,Nayib Bukele,国家级 Stacker。 萨尔瓦多总统，奉行“逢低便买（Buy the dip）”，资产存放在国家级金库（类似 CEX 管理模式），买完就发推，不看盘。
B-D-R-N,生态掘金者,Jeff (Merlin),BTC 二层探索者。 在 BTC L2 上寻找技术套利和生态爆发点，试图在最古老的链上玩出最复杂的 DeFi 玩法。
B-D-R-C,杠杆套利员,Arthur Hayes,衍生品之王。 BitMEX 创始人，利用 BTC 的波动进行复杂的宏观对冲和期权套利，对比特币没感情，只对波动率感兴趣。
B-D-F-N,铭文投机客,乌合之众 (某大户),链上打新达人。 哪里有新协议（Runes/BRC-20）就去哪里打，全看社区喊单力度，坚信“大力出奇迹”，即便被套也认。
B-D-F-C,减半博弈者,AngeloBTC,传奇交易员。 专门在减半周期或重大节点前在交易所开出天价高倍杠杆，博的就是那一根改变命运的插针。
S-H-R-N,生态奠基人,Anatoly (Toly),硬件极限主义者。 相信 Solana 的高并发能承载全人类的交易。他不在乎交易所，只在乎 Rust 代码和并行计算的效率。
S-H-R-C,高性能信徒,Raoul Pal,宏观投机家。 认为 SOL 是“这一代人的 ETH”，从技术周期长线看好，但更倾向于在合规 CEX 环境下管理资产。
S-H-F-N,社区领袖,Mert Mumtaz,Solana 守望者。 Helius 创始人，极致的链上原住民，每天在 X 上捍卫 Solana 社区文化，坚信共识源于流畅的交互体验。
S-H-F-C,SOL 持币大户,Chris Burniske,风投界的长线派。 早期低位入场，资产多由机构化管理，信仰“SOL 终将挑战 ETH”，不被短期波动左右。
S-D-R-N,科学家/夹子,Jito 运营者,算法捕食者。 利用链上低延迟和 MEV 提取价值，将 Solana 看作一台巨大的高频提款机，只相信代码和速度。
S-D-R-C,波段交易员,Bluntz,技术指标狂魔。 擅长利用伊略特波浪理论在 CEX 进行 SOL 系代币的日内交易，极其理智，只看 K 线不听故事。
S-D-F-N,Pump.fun 赌神,Ansem,Solana 战神。 每天在推特喊单，在链上冲最野的狗。他不需要白皮书，只需要一个极具传播力的 Meme 梗和万倍的梦想。
S-D-F-C,闪电投机者,Hsaka,流动性幽灵。 哪里的 Solana 山寨币有热度就去哪里，在 CEX 快速进场收割情绪价值，动作极快，绝不恋战。
E-H-R-N,DeFi 架构师,Vitalik Buterin,以太坊之魂。 不看币价，只看 EIP 提案。资产全在链上，随时准备为去中心化“正统性”写一篇 5000 字长文。
E-H-R-C,以太坊合规官,Larry Fink,贝莱德掌门人。 相信“资产代币化”是金融的未来，通过 ETF 稳健布局，极其看重监管与基本面，是传统金融进入 Web3 的领路人。
E-H-F-N,NFT 收藏家,Punk6529,数字主权传教士。 坚信“署名权即主权”，持有蓝筹 NFT 绝不换手，认为社区共识和审美是 Web3 最宽的护城河。
E-H-F-C,L2 信仰者,Lark Davis,散户导师。 极其推崇以太坊及其 L2 生态（如 Base/OP），但在操作上倾向于在交易所或简单易用的界面完成长期布局。
E-D-R-N,复利收割机,Andre Cronje,DeFi 界的“疯狗”。 哪里有收益率就去哪里，在协议代码里寻找复利空间，风险对他来说只是数学公式的一部分。
E-D-R-C,打新专业户,Miles Deutscher,深度研究型博主。 专门挖掘具有强 VC 背景的 EVM 系新项目，通过研报分析进行短线或一级的精准打击。
E-D-F-N,链上领航员,Pacman (Blur),流动性猎手。 擅长利用积分、空投和社区热度创造游戏化交易，哪里有热钱就带队冲向哪里的 L2 生态。
E-D-F-C,山寨投机客,GCR (Gigachad),情绪交易之神。 极擅长在 CEX 捕捉大众情绪的拐点，利用反向思维和对社群热度的敏感度进行高杠杆套利。
